"ID","Slug","Scientific_Name","Common_Name","Type","Image_Filename","Search_Term"
"147","pinus-monticola","Pinus Monticola","Western White Pine","Shrub","pinus-monticola.jpg","Pinus Monticola plant"
"148","prunus-emarginata","Prunus Emarginata","Bitter Cherry","Shrub","prunus-emarginata.jpg","Prunus Emarginata plant"
"149","prunus-virginiana","Prunus Virginiana","Chokecherry","Shrub","prunus-virginiana.jpg","Prunus Virginiana plant"
"150","pseudotsuga-menziesii","Pseudotsuga Menziesii","Douglas Fir","Shrub","pseudotsuga-menziesii.jpg","Pseudotsuga Menziesii plant"
"151","rhamnus-purshiana","Rhamnus Purshiana","Cascara","Shrub","rhamnus-purshiana.jpg","Rhamnus Purshiana plant"
"152","salix-lucida-ssp-lasiandra","Salix Lucida ssp Lasiandra","Pacific willow","Tree","salix-lucida-ssp-lasiandra.jpg","Salix Lucida ssp Lasiandra plant"
"153","sorbus-sitchensis","Sorbus Sitchensis","Sitka Mountain Ash","Shrub","sorbus-sitchensis.jpg","Sorbus Sitchensis plant"
"155","tsuga-heterophylla","Tsuga Heterophylla","Western Hemlock","Shrub","tsuga-heterophylla.jpg","Tsuga Heterophylla plant"
"156","corylus-cornuta","Corylus Cornuta","Beaked Hazel","Shrub","corylus-cornuta.jpg","Corylus Cornuta plant"
"157","physocarpus-capitatus","Physocarpus Capitatus","Pacific Ninebark","Shrub","physocarpus-capitatus.jpg","Physocarpus Capitatus plant"
"159","salix-hookeriana","Salix Hookeriana","Hooker's Willow","Tree","salix-hookeriana.jpg","Salix Hookeriana plant"
"160","salix-scouleriana","Salix Scouleriana","Scouler's willow","Tree","salix-scouleriana.jpg","Salix Scouleriana plant"
"161","salix-sitchensis","Salix sitchensis","Sitka Willow","Tree","salix-sitchensis.jpg","Salix sitchensis plant"
"162","lupinus-polyphyllus-gallery-blue","Lupinus Polyphyllus 'Gallery Blue'","Gallery Blue Lupin","Shrub","lupinus-polyphyllus-gallery-blue.jpg","Lupinus Polyphyllus 'Gallery Blue' plant"
"163","polystichum-munitum-10cm","Polystichum Munitum - 10cm","Western Swordfern","Shrub","polystichum-munitum-10cm.jpg","Polystichum Munitum - 10cm plant"
"164","symphyotrichum-subspicatum","Symphyotrichum Subspicatum","Douglas's aster","Shrub","symphyotrichum-subspicatum.jpg","Symphyotrichum Subspicatum plant"
"165","trifolium-wormskioldii","Trifolium Wormskioldii","Springbank Clover","Shrub","trifolium-wormskioldii.jpg","Trifolium Wormskioldii plant"
"166","carex-obnupta-10cm","Carex Obnupta - #10cm","Slough Sedge","Shrub","carex-obnupta-10cm.jpg","Carex Obnupta - #10cm plant"
"167","juncus-effusus-10cm","Juncus Effusus - #10cm","Soft Rush","Shrub","juncus-effusus-10cm.jpg","Juncus Effusus - #10cm plant"
"168","scirpus-microcarpus","Scirpus Microcarpus","Panicled Flowered Bulrush","Shrub","scirpus-microcarpus.jpg","Scirpus Microcarpus plant"
